registered,occurred,broker,modbus,mac_id,mc_no,process
2026-06-16 15:58:05.602,2026-06-16 15:53:18.251,1.0,1.0,,mc5,demo1
2026-06-16 15:58:05.556,2026-06-16 15:53:18.251,0.0,0.0,0,mc4,demo1
2026-06-16 15:58:05.496,2026-06-16 15:53:18.251,0.0,0.0,0,mc3,demo1
2026-06-16 15:58:05.435,2026-06-16 15:53:18.251,1.0,1.0,,mc2,demo1
2026-06-16 15:58:05.403,2026-06-16 15:53:18.251,1.0,1.0,,mc1,demo1
2026-06-16 15:53:05.184,2026-06-16 15:48:18.927,1.0,1.0,,mc1,demo1
2026-06-16 15:53:05.318,2026-06-16 15:48:18.927,1.0,1.0,,mc5,demo1
2026-06-16 15:53:05.275,2026-06-16 15:48:18.927,0.0,0.0,0,mc4,demo1
2026-06-16 15:53:05.241,2026-06-16 15:48:18.927,0.0,0.0,0,mc3,demo1
2026-06-16 15:53:05.217,2026-06-16 15:48:18.927,1.0,1.0,,mc2,demo1
2026-06-16 15:53:05.143,2026-06-16 15:48:18.927,1.0,1.0,,mc6,demo1
2026-06-16 15:48:05.809,2026-06-16 15:43:19.417,1.0,1.0,,mc2,demo1
2026-06-16 15:48:05.998,2026-06-16 15:43:19.417,1.0,1.0,,mc5,demo1
2026-06-16 15:48:05.929,2026-06-16 15:43:19.417,0.0,0.0,0,mc4,demo1
2026-06-16 15:48:05.627,2026-06-16 15:43:19.417,1.0,1.0,,mc6,demo1
2026-06-16 15:48:05.857,2026-06-16 15:43:19.417,0.0,0.0,0,mc3,demo1
2026-06-16 15:48:05.756,2026-06-16 15:43:19.417,1.0,1.0,,mc1,demo1
2026-06-16 15:43:04.451,2026-06-16 15:38:18.749,1.0,1.0,,mc6,demo1
2026-06-16 15:43:04.659,2026-06-16 15:38:18.749,1.0,1.0,,mc5,demo1
2026-06-16 15:43:04.622,2026-06-16 15:38:18.749,0.0,0.0,0,mc4,demo1
2026-06-16 15:43:04.569,2026-06-16 15:38:18.749,0.0,0.0,0,mc3,demo1
2026-06-16 15:43:04.523,2026-06-16 15:38:18.749,1.0,1.0,,mc2,demo1
2026-06-16 15:43:04.484,2026-06-16 15:38:18.749,1.0,1.0,,mc1,demo1
2026-06-16 15:38:04.879,2026-06-16 15:33:19.070,1.0,1.0,,mc5,demo1
2026-06-16 15:38:04.710,2026-06-16 15:33:19.070,1.0,1.0,,mc6,demo1
2026-06-16 15:38:04.732,2026-06-16 15:33:19.070,1.0,1.0,,mc1,demo1
2026-06-16 15:38:04.773,2026-06-16 15:33:19.070,1.0,1.0,,mc2,demo1
2026-06-16 15:38:04.800,2026-06-16 15:33:19.070,0.0,0.0,0,mc3,demo1
2026-06-16 15:38:04.836,2026-06-16 15:33:19.070,0.0,0.0,0,mc4,demo1
2026-06-16 15:33:06.075,2026-06-16 15:28:18.929,1.0,1.0,,mc1,demo1
2026-06-16 15:33:06.267,2026-06-16 15:28:18.929,1.0,1.0,,mc5,demo1
2026-06-16 15:33:06.232,2026-06-16 15:28:18.929,0.0,0.0,0,mc4,demo1
2026-06-16 15:33:06.200,2026-06-16 15:28:18.929,0.0,0.0,0,mc3,demo1
2026-06-16 15:33:06.164,2026-06-16 15:28:18.929,1.0,1.0,,mc2,demo1
2026-06-16 15:33:06.018,2026-06-16 15:28:18.929,1.0,1.0,,mc6,demo1
2026-06-16 15:28:04.259,2026-06-16 15:23:18.156,1.0,1.0,,mc1,demo1
2026-06-16 15:28:04.526,2026-06-16 15:23:18.156,1.0,1.0,,mc5,demo1
2026-06-16 15:28:04.481,2026-06-16 15:23:18.156,0.0,0.0,0,mc4,demo1
2026-06-16 15:28:04.427,2026-06-16 15:23:18.156,0.0,0.0,0,mc3,demo1
2026-06-16 15:28:04.354,2026-06-16 15:23:18.156,1.0,1.0,,mc2,demo1
2026-06-16 15:28:04.182,2026-06-16 15:23:18.156,1.0,1.0,,mc6,demo1
2026-06-16 15:23:05.871,2026-06-16 15:18:18.226,0.0,0.0,0,mc3,demo1
2026-06-16 15:23:06.013,2026-06-16 15:18:18.226,1.0,1.0,,mc5,demo1
2026-06-16 15:23:05.933,2026-06-16 15:18:18.226,0.0,0.0,0,mc4,demo1
2026-06-16 15:23:05.814,2026-06-16 15:18:18.226,1.0,1.0,,mc2,demo1
2026-06-16 15:23:05.738,2026-06-16 15:18:18.226,1.0,1.0,,mc1,demo1
2026-06-16 15:23:05.689,2026-06-16 15:18:18.226,1.0,1.0,,mc6,demo1
2026-06-16 15:16:01.513,2026-06-16 15:13:19.209,1.0,1.0,,mc1,demo1
2026-06-16 15:16:01.301,2026-06-16 15:13:19.209,1.0,1.0,,mc6,demo1
2026-06-16 15:16:01.356,2026-06-16 15:13:19.209,1.0,1.0,,mc2,demo1
2026-06-16 15:16:01.397,2026-06-16 15:13:19.209,1.0,1.0,,mc5,demo1
2026-06-16 15:16:01.438,2026-06-16 15:13:19.209,0.0,0.0,0,mc4,demo1
2026-06-16 15:16:01.480,2026-06-16 15:13:19.209,0.0,0.0,0,mc3,demo1
2026-06-16 15:13:03.906,2026-06-16 15:08:18.889,1.0,1.0,,mc1,demo1
2026-06-16 15:16:01.747,2026-06-16 15:08:18.889,0.0,0.0,0,mc3,demo1
2026-06-16 15:16:01.687,2026-06-16 15:08:18.889,1.0,1.0,,mc6,demo1
2026-06-16 15:16:01.538,2026-06-16 15:08:18.889,1.0,1.0,,mc1,demo1
2026-06-16 15:16:01.655,2026-06-16 15:08:18.889,1.0,1.0,,mc5,demo1
2026-06-16 15:16:01.580,2026-06-16 15:08:18.889,0.0,0.0,0,mc4,demo1
2026-06-16 15:16:01.625,2026-06-16 15:08:18.889,1.0,1.0,,mc2,demo1
2026-06-16 15:13:03.713,2026-06-16 15:08:18.889,1.0,1.0,,mc6,demo1
2026-06-16 15:13:03.752,2026-06-16 15:08:18.889,1.0,1.0,,mc2,demo1
2026-06-16 15:13:03.797,2026-06-16 15:08:18.889,1.0,1.0,,mc5,demo1
2026-06-16 15:13:03.814,2026-06-16 15:08:18.889,0.0,0.0,0,mc4,demo1
2026-06-16 15:13:03.856,2026-06-16 15:08:18.889,0.0,0.0,0,mc3,demo1
2026-06-16 15:13:04.093,2026-06-16 15:03:18.518,0.0,0.0,0,mc4,demo1
2026-06-16 15:16:02.025,2026-06-16 15:03:18.518,1.0,1.0,,mc2,demo1
2026-06-16 15:16:01.947,2026-06-16 15:03:18.518,1.0,1.0,,mc1,demo1
2026-06-16 15:16:01.914,2026-06-16 15:03:18.518,0.0,0.0,0,mc3,demo1
2026-06-16 15:16:01.872,2026-06-16 15:03:18.518,0.0,0.0,0,mc4,demo1
